Maquina,timestamp_grid,aceleracion_chum_la_h,velocidad_chum_la_h,envolvente_chum_la_h,aceleracion_chum_la_a,velocidad_chum_la_a,envolvente_chum_la_a,aceleracion_chum_ll_h,velocidad_chum_ll_h,envolvente_chum_ll_h,desbalance_la,desalineacion_rad_la,soltura_chum_la,rodamiento_chum_la,desalineacion_ang_la,desbalance_ll,soltura_chum_ll,rodamiento_chum_ll,corriente_picadora,temperatura_lado_der,temperatura_lado_izq
PICADORA,2025-07-14 10:48:51-05:00,0.454215,2.28108,1.99453,0.341337,1.57963,1.17232,0.375699,2.73611,0.79178,0.714615,0.570013,1.80518,1.15775,0.0547037,0.8331525,1.9132226,1.3486259,142.0,50.0,52.0
PICADORA,2025-07-14 10:49:01-05:00,0.442574,1.93506,1.7468,0.361408,1.50198,1.1253,0.31284,2.28669,0.781993,0.71317214,0.56300074,1.7592217,1.1134396,0.053766716,0.839929,1.90892,1.35353,102.0,50.0,52.0
PICADORA,2025-07-14 10:49:11-05:00,0.410306,1.73955,1.64192,0.319361,1.38379,1.29526,0.274206,1.91481,0.662729,0.7117293,0.5559885,1.7132633,1.0691292,0.052829735,0.8357521,1.8645508,1.3140677,84.0,50.0,52.0
PICADORA,2025-07-14 10:49:21-05:00,0.382062,1.44327,1.8586,0.250858,1.24349,1.02286,0.229871,1.5722,0.504265,0.7102865,0.54897624,1.667305,1.0248188,0.05189275,0.83157533,1.8201817,1.2746054,81.0,50.0,52.0
PICADORA,2025-07-14 10:49:31-05:00,0.447348,2.04742,1.79272,0.422586,1.59042,1.10684,0.331983,2.28643,0.613959,0.70884365,0.541964,1.6213466,0.9805083,0.05095577,0.8273985,1.7758125,1.2351431,127.0,50.0,52.0
PICADORA,2025-07-14 10:49:41-05:00,0.541254,5.24919,1.48635,0.484221,2.39458,1.42127,0.854423,8.15797,6.56174,0.7074008,0.53495175,1.5753883,0.93619794,0.050018784,0.8232217,1.7314434,1.1956807,150.0,50.0,52.0
PICADORA,2025-07-14 10:49:51-05:00,0.42522,1.91059,2.26737,0.350568,1.48039,1.33159,0.279798,2.17671,0.642619,0.705958,0.5279395,1.5294299,0.89188755,0.049081802,0.8190448,1.6870742,1.1562184,100.0,50.0,52.0
PICADORA,2025-07-14 10:50:01-05:00,0.357385,1.15988,1.96567,0.225689,1.24138,1.01695,0.193872,1.35039,0.554219,0.70451516,0.52092725,1.4834716,0.8475771,0.048144817,0.814868,1.642705,1.116756,76.0,50.0,52.0
PICADORA,2025-07-14 10:50:11-05:00,0.363581,1.26829,1.77308,0.211816,1.26139,0.965651,0.190511,1.32718,0.662621,0.7030723,0.513915,1.4375134,0.8032667,0.047207832,0.8106912,1.5983359,1.0772936,75.0,50.0,52.0
PICADORA,2025-07-14 10:50:21-05:00,0.385576,1.33249,1.70898,0.2533,1.22532,0.964363,0.228608,1.56534,0.567877,0.70162946,0.50690275,1.391555,0.75895625,0.04627085,0.8065143,1.5539666,1.0378313,83.0,50.0,52.0
