Fecha,RPM_BPC-501\RPM [RPM],Motor LL_501\MLL - X\Velocidad Rms [mm/s],Motor LL_501\MLL - X\Aceleración Rms [g],Motor LA_501\MLA - X\Velocidad Rms [mm/s],Motor LA_501\MLA - X\Aceleración Rms [g],Motor LA_501\MLA - Y\Velocidad Rms [mm/s],Motor LA_501\MLA - Y\Aceleración Rms [g],Motor LA_501\MLA - Z\Velocidad Rms [mm/s],Motor LA_501\MLA - Z\Aceleración Rms [g],Motor LL_502\MLL _X\Velocidad Rms [mm/s],Motor LL_502\MLL _X\Aceleración Rms [g],Motor LA_502\MLA_X\Velocidad Rms [mm/s],Motor LA_502\MLA_X\Aceleración Rms [g],Motor LA_502\MLA_Y\Velocidad Rms [mm/s],Motor LA_502\MLA_Y\Aceleración Rms [g],Motor LA_502\MLA_Z\Velocidad Rms [mm/s],Motor LA_502\MLA_Z\Aceleración Rms [g],Motor LL_502\MLL_Y\Velocidad Rms [mm/s],Motor LL_502\MLL_Y\Aceleración Rms [g],Motor LL_501\MLL - Y\Velocidad Rms [mm/s],Motor LL_501\MLL - Y\Aceleración Rms [g]
2026-01-30 05:27:39,1196.70911,1.27632236,1.0206784,0.9744371,2.09937525,0.898708,2.660239,0.590393662,1.76993382,0.859368265,0.4493657,0.897623539,1.71103323,0.7202461,1.62722957,0.38762486,0.564797163,0.646036744,0.5249222,2.2935338,0.878625035
2026-01-30 05:27:40,1196.3114,1.34189785,1.04107308,1.00957215,2.100275,0.9495479,2.65253925,0.7993593,1.74928093,0.8007024,0.452868253,0.891010463,1.80987656,0.691372752,1.66014123,0.328829736,0.569912434,0.620793462,0.5279978,2.378949,0.8832944
2026-01-30 05:27:41,1196.3114,1.33167088,1.01777256,0.9830549,1.88497722,0.8711959,2.55146313,0.5813007,1.7212913,0.8358377,0.449517429,0.873834968,1.6751585,0.696907461,1.62190866,0.448430866,0.526237547,0.655717254,0.516512632,2.20111752,0.8898054
2026-01-30 05:27:42,1195.914,1.29692125,1.02591968,0.964696646,2.028034,0.89677906,2.53747988,0.5909846,1.73318362,0.8218921,0.452692032,0.8909144,1.74342012,0.6850023,1.66113377,0.372899354,0.573270142,0.654862463,0.5342054,2.191922,0.88526684
2026-01-30 05:27:43,1195.914,1.287866,1.02035916,0.959299147,2.17852879,0.866979837,2.68760252,0.5734065,1.79247355,0.8479189,0.452787846,0.898304164,1.70733893,0.7011353,1.63409042,0.3543063,0.547123432,0.6521956,0.517057836,2.25909615,0.8791671
2026-01-30 05:27:44,1195.914,1.32199955,1.01659119,0.963874,2.0520215,0.924556,2.657281,0.5498763,1.775547,0.880701661,0.4517333,0.8902745,1.835502,0.6932837,1.6564424,0.826736,0.5542335,0.65320307,0.52423054,2.8630805,0.8734133
2026-01-30 05:27:45,1195.71533,1.31160164,1.01947951,1.0011673,2.12594771,0.9112449,2.54375434,0.568368256,1.77551389,0.8270844,0.4568343,0.9115347,1.71864378,0.7061979,1.65256715,0.6080434,0.5343278,0.636931539,0.521155238,2.23096514,0.8930233
2026-01-30 05:27:46,1195.51685,1.30581284,1.03022826,0.9720839,2.03053379,0.906162739,2.58203268,0.5556378,1.68959856,0.871979654,0.4682204,0.8961727,1.56874657,0.7200504,1.62933242,0.5328251,0.5483212,0.627895236,0.5331973,2.18485737,0.87650466
2026-01-30 05:27:47,1195.21912,1.29919457,1.01045156,0.959297657,2.13139367,0.859082758,2.707173,0.558702767,1.78610158,0.7865113,0.460781872,0.8896726,1.82778573,0.69254905,1.63926041,0.33115232,0.556536138,0.656184733,0.5335306,2.16773534,0.9071862
2026-01-30 05:27:48,1194.92163,1.3167249,1.01164412,0.9811687,1.98082733,0.91680187,2.48213029,0.545837641,1.69746149,0.8254019,0.457804441,0.873150945,1.67430389,0.6883284,1.64755881,0.47858724,0.544186354,0.6109738,0.529224932,2.25522971,0.8670695
2026-01-30 05:27:49,1195.02075,1.298542,1.01350272,0.961789846,2.171996,0.905763,2.61927271,0.5190142,1.75930238,0.7963749,0.465408117,0.8935705,1.66860914,0.699215353,1.69724512,0.372687042,0.5313685,0.641636252,0.5373334,2.169723,0.881836236
2026-01-30 05:27:50,1195.21912,1.33304894,1.029675,0.9766027,2.15091252,0.8823993,2.68635917,0.5542274,1.78670967,0.814308763,0.460049778,0.8872222,1.59723008,0.6987682,1.58741426,0.3431621,0.5371433,0.638693452,0.5314772,2.16333652,0.8886221
2026-01-30 05:27:51,1194.82239,1.27931488,1.02253807,0.950560153,2.05123067,0.904192,2.70376778,0.592280447,1.73800159,0.837388635,0.46660322,0.9067375,1.66618645,0.7180717,1.61419618,0.390883476,0.5151066,0.6695756,0.542485654,2.16481042,0.88379097
2026-01-30 05:27:52,1194.92163,1.298369,1.01688814,0.9647818,2.042325,0.899252355,2.51704574,0.638968468,1.72845423,0.786362052,0.461815625,0.881852865,1.65742815,0.713152647,1.64342237,0.373164922,0.550694048,0.6495693,0.5348118,2.23652887,0.8784332
2026-01-30 05:27:53,1195.31836,1.27780867,1.02415526,0.9408372,2.12441468,0.887076,2.64796233,0.55067724,1.77727592,0.828810036,0.470698565,0.884347141,1.74081886,0.6847572,1.60813415,0.311472982,0.5484527,0.6100344,0.5383444,2.29237819,0.889488
